id,nome,data_nascimento,cpf,cep,cidade,estado,pais,genero,telefone,email,data_cadastro
d3a5434c-5a9f-443a-bbf8-49c68a700e63,Letícia Pereira,1996-09-28,092.378.980-32,87382-514,Nascimento Paulista,CE,Brasil,M,+55 61 0148 0318,09237898032@exemplo.com.br,2024-09-27
a8cdb4e5-f6dc-4b99-917c-1c801e66a858,Sophia Albuquerque,1962-10-19,282.688.577-89,24976-338,Dias,RO,Brasil,F,+55 21 0394-9722,28268857789@exemplo.com.br,2024-02-22
39b953e6-f659-49e9-bc68-745f23cc0e2c,Milena Cavalcanti,1957-03-10,043.971.230-58,30065192,Pastor,AC,Brasil,F,(031) 9462-3466,04397123058@exemplo.com.br,2024-12-16
f9a20225-b8e8-4fc5-a7df-688211dd8451,Jade Barros,1973-07-07,940.841.086-26,62351483,Azevedo,RJ,Brasil,M,(071) 7898-2227,94084108626@exemplo.com.br,2024-06-23
ddda434f-885b-486b-a925-158810543442,Benjamim Vieira,1956-07-26,474.367.228-55,38894297,Rezende,AL,Brasil,F,31 7239 7839,47436722855@exemplo.com.br,2024-11-27
44c4723e-182b-4666-9dc5-26d3c4693378,Dr. Anthony Gabriel Casa Grande,1961-12-01,360.083.647-76,11758-005,Garcia,RJ,Brasil,M,+55 (021) 2471-0027,36008364776@exemplo.com.br,2024-10-12
7a6dc494-69db-4ecd-8295-131847a50a76,Sabrina Albuquerque,1997-01-10,127.454.385-22,72292-755,Mendes Paulista,RR,Brasil,M,+55 11 4625-3935,12745438522@exemplo.com.br,2023-12-18
b65c4fe8-b264-4281-a1c6-ab3e81bc7c9b,Letícia Barbosa,1951-12-15,828.582.187-45,40522-106,Nogueira,AL,Brasil,M,51 2920 5108,82858218745@exemplo.com.br,2024-12-07
f584e436-3ded-4091-9cf5-5e18f2cee35d,Alexandre Lopes,1988-04-25,664.144.372-13,42270310,Garcia,RN,Brasil,F,+55 (081) 9425 8901,66414437213@exemplo.com.br,2025-05-12
a9dec8f2-a12b-4366-9c7f-a38a6d4e2b69,Sarah Andrade,1964-03-16,107.275.938-42,46564-956,Farias,AL,Brasil,F,+55 (031) 4072 0711,10727593842@exemplo.com.br,2024-12-22
12a5e3cb-b834-4fdb-b639-dbad157bf65e,Ayla Brito,1941-04-06,304.882.405-46,48151988,Farias,AC,Brasil,M,+55 51 3005 0619,30488240546@exemplo.com.br,2024-01-04
00cdb83e-8844-4636-9185-d1e893308602,Bianca Pacheco,1948-09-11,134.441.298-47,19681-962,Fonseca de da Cunha,AC,Brasil,M,(084) 8679 6286,13444129847@exemplo.com.br,2024-07-11
2fe984f1-2524-44d4-8cd0-d0056214a7c1,Anna Liz Nogueira,2005-02-10,028.002.420-77,70399448,Santos,AM,Brasil,M,+55 61 5023 3934,02800242077@exemplo.com.br,2024-11-19
dcacea92-6170-43ea-a9ee-8add4098dcce,Isabelly Silva,1955-12-04,499.536.348-90,28988289,da Rosa de Aragão,CE,Brasil,M,(061) 9258 9991,49953634890@exemplo.com.br,2025-08-22
7a0e6799-9869-48b6-9963-f9dd71e4d8b2,Julia Costela,1981-08-04,114.837.633-01,16422-539,Leão de Vasconcelos,AC,Brasil,F,+55 (011) 5841 6542,11483763301@exemplo.com.br,2025-03-30
b14b27fb-b3f8-4cdb-9afe-10b31d9742c7,Luana Porto,1945-11-13,245.082.274-06,51880-146,Farias,MS,Brasil,M,+55 11 5794 9800,24508227406@exemplo.com.br,2024-12-20
1e94f18a-c7dd-4e8d-a71c-502dcdde25bd,Dra. Rafaela Fogaça,1988-02-13,281.929.755-30,06945-890,da Cunha de Almeida,SC,Brasil,M,+55 21 5097-1027,28192975530@exemplo.com.br,2024-03-23
273e2a15-1b07-471f-9170-db175db8578a,Benício Oliveira,1950-11-15,279.583.461-31,25460526,Moreira,DF,Brasil,F,+55 (031) 8068-1157,27958346131@exemplo.com.br,2025-09-10
